Puan Young Syefura binti Othman,Bentong
Menteri Sains, Teknologi dan Inovasi (Tuan Chang Lih Kang),Tanjong Malim
Datuk Ahmad Amzad bin Mohamed @ Hashim,Kuala Terengganu
Tuan Ir. Ts. Haji Khairil Nizam bin Khirudin,Jerantut
Menteri Pengangkutan (Tuan Loke Siew Fook),Seremban
Datuk Willie anak Mongin,Puncak Borneo
Tuan Lim Guan Eng,Bagan
Menteri Perpaduan Negara (Datuk Aaron Ago Dagang),Kanowit
Dato’ Sri Saifuddin bin Abdullah,Indera Mahkota
Tuan Syed Saddiq bin Syed Abdul Rahman,Muar
Tuan Prabakaran a/l M Parameswaran,Batu
Timbalan Menteri Pembangunan Usahawan dan Koperasi (Dato’ Sri Ramanan Ramakrishnan),Sungai Buloh
Tuan Rushdan bin Rusmi,Padang Besar
Datuk Haji Idris bin Haji Ahmad,Bagan Serai
Menteri di Jabatan Perdana Menteri (Hal Ehwal Agama) (Dato’ Setia Dr. Haji Mohd Na’im bin Mokhtar),Senator
Tuan Haji Azli bin Yusof,Shah Alam
Tuan Haji Onn bin Abu Bakar,Batu Pahat
Menteri di Jabatan Perdana Menteri (Wilayah Persekutuan) (Dr. Zaliha binti Mustafa),Sekijang
Dato’ Azman bin Nasrudin,Padang Serai
Tuan Zakri bin Hassan,Kangar
Timbalan Menteri Pendidikan (Tuan Wong Kah Woh),Taiping
Dato’ Adnan bin Abu Hassan,Kuala Pilah
Tuan Jimmy Puah Wee Tse,Tebrau
Menteri Pelancongan, Seni dan Budaya (Dato Sri Tiong King Sing),Bintulu
Tuan Nurul Amin bin Hamid,Padang Terap
Timbalan Yang di-Pertua (Puan Alice Lau Kiong Yieng),Lanang
Tuan Tan Hong Pin,Bakri
Tuan Haji Aminolhuda bin Hassan,Sri Gading
Tuan Fathul Huzir bin Ayob,Gerik
Menteri Digital (Tuan Gobind Singh Deo),Damansara
Dato' Indera Mohd Shahar bin Abdullah,Paya Besar
Tuan Sivakumar a/l Varatharaju Naidu,Batu Gajah
Timbalan Menteri di Jabatan Perdana Menteri (Undang-undang dan Reformasi Institusi) (Tuan M. Kulasegaran),Ipoh Barat
Dr. Haji Abd Ghani bin Ahmad,Jerlun
Timbalan Menteri Digital (Datuk Wilson Ugak Anak Kumbong),Hulu Rajang
Tuan Tan Kok Wai,Cheras
Tan Sri Dato’ Seri Haji Abdul Hadi bin Awang,Marang
Dato’ Rosol bin Wahid,Hulu Terengganu
Dato’ Mohd Isam bin Mohd Isa,Tampin
Tuan Haji Abdul Latiff bin Abdul Rahman,Kuala Krai
Tuan Haji Ahmad Fadhli bin Shaari,Pasir Mas
Datuk Dr. Ahmad Marzuk bin Shaary,Pengkalan Chepa
Dato' Ngeh Koo Ham,Beruas
Datuk Haji Awang bin Hashim,Pendang
Timbalan Yang di-Pertua (Dato’ Dr. Ramli bin Dato' Mohd Nor),Cameron Highlands
Puan Vivian Wong Shir Yee,Sandakan
Puan Wong Shu Qi,Kluang
Datuk Wetrom bin Bahanda,Kota Marudu
Tuan Haji Bakri bin Jamaluddin,Tangga Batu
Datuk Matbali bin Musah,Sipitang
Tuan Afnan Hamimi bin Dato’ Haji Taib Azamudden,Alor Setar
Tuan Mohamad Shafizan Haji Kepli,Batang Lupar
Kapten Azahari bin Hasan,Padang Rengas
Dr. Kelvin Yii Lee Wuen,Bandar Kuching
Puan Syerleena binti Abdul Rashid,Bukit Bendera
Tuan Sabri bin Azit,Jerai
Dato’ Dr. Haji Alias bin Razak,Kuala Nerus
Tuan Riduan bin Rubin,Tenom
Dato’ Sri Ikmal Hisham bin Abdul Aziz,Tanah Merah
Datuk Ali anak Biju,Saratok
Datuk Hajah Siti Aminah binti Aching,Beaufort
Tuan Wan Razali bin Wan Nor,Kuantan
Dato’ Haji Shamshulkahar bin Mohd Deli,Jempol
Tuan Shaharizukirnain bin Abd Kadir,Setiu
Tuan Sanisvara Nethaji Rayer a/l Rajaji,Jelutong
Tuan Zulkifli bin Ismail,Jasin
Tuan Haji Jamaludin bin Yahya,Pasir Salak
